Wallet ID,Row,Timestamp (UTC),Description,Currency,Balance delta,Available balance delta,Balance,Available balance,Cryptocurrency transaction ID,Cryptocurrency address,Value
6605893411105279123,72,2021-02-23 15:15:10,Reserved funds for order BXKRBVFBZ58CDZR,ETH,0.00,-0.531468,0.532,0.000532,,,
6605893411105279123,73,2021-02-23 15:16:18,Released funds for order BXKRBVFBZ58CDZR,ETH,0.00,0.531468,0.532,0.532,,,
6605893411105279123,74,2021-02-23 15:16:43,"Sold ETH 0.532 for ZAR 12,122.74",ETH,-0.532,-0.532,0.00,0.00,,,
6605893411105279123,75,2021-02-26 08:42:59,"Bought ETH 0.26733322 for ZAR 6,169.52",ETH,0.26733322,0.26733322,0.26733322,0.26733322,,,
6605893411105279123,76,2021-03-02 07:08:58,"Sold ETH 0.26733322 for ZAR 6,292.03",ETH,-0.26733322,-0.26733322,0.00,0.00,,,
6605893411105279123,77,2021-03-03 04:17:39,"Bought ETH 0.28005123 for ZAR 6,792.03",ETH,0.28005123,0.28005123,0.28005123,0.28005123,,,
6605893411105279123,78,2021-03-03 11:36:15,Reserved funds for order BXEGRB34T64C6E,ETH,0.00,-0.280051,0.28005123,0.00000023,,,
6605893411105279123,79,2021-03-03 12:46:58,"Sold 0.280051 ETH/ZAR @ 25,000",ETH,-0.280051,0.00,0.00000023,0.00000023,,,
6605893411105279123,81,2021-03-04 04:25:48,"Bought 0.00262 ETH/ZAR @ 24,050",ETH,0.00262,0.00262,0.00262023,0.00262023,,,
6605893411105279123,82,2021-03-04 04:25:50,"Bought 0.01638 ETH/ZAR @ 24,050",ETH,0.01638,0.01638,0.01900023,0.01900023,,,
6605893411105279123,83,2021-03-04 06:02:38,"Bought 0.025 ETH/ZAR @ 24,299",ETH,0.025,0.024975,0.04400023,0.04397523,,,
6605893411105279123,84,2021-03-04 06:02:38,Trading fee,ETH,-0.000025,0.00,0.04397523,0.04397523,,,"~ZAR 0.60 (24,281 ZAR/ETH)"
6605893411105279123,85,2021-03-04 12:44:26,Reserved funds for order BXG9TP4TME3Z3VE,ETH,0.00,-0.043931,0.04397523,0.00004423,,,
6605893411105279123,86,2021-03-04 12:44:28,"Sold 0.043931 ETH/ZAR @ 24,243",ETH,-0.043931,0.00,0.00004423,0.00004423,,,
6605893411105279123,88,2021-03-05 04:12:20,"Bought ETH 0.29271009 for ZAR 7,001.87",ETH,0.29271009,0.29271009,0.29275432,0.29275432,,,
6605893411105279123,89,2021-03-06 04:38:12,Reserved funds for order BXJD2R9JG3BKCS5,ETH,0.00,-0.292754,0.29275432,0.00000032,,,
6605893411105279123,90,2021-03-06 07:20:20,"Sold 0.00504 ETH/ZAR @ 24,789",ETH,-0.00504,0.00,0.28771432,0.00000032,,,
6605893411105279123,91,2021-03-06 07:20:42,"Sold 0.287714 ETH/ZAR @ 24,789",ETH,-0.287714,0.00,0.00000032,0.00000032,,,
6605893411105279123,93,2021-03-08 05:10:22,"Bought 0.270887 ETH/ZAR @ 26,790",ETH,0.270887,0.270887,0.27088732,0.27088732,,,
6605893411105279123,94,2021-03-09 04:25:58,"Sold ETH 0.27088732 for ZAR 7,604.72",ETH,-0.27088732,-0.27088732,0.00,0.00,,,
6605893411105279123,95,2021-03-09 12:32:43,"Bought 0.265435 ETH/ZAR @ 28,650",ETH,0.265435,0.265435,0.265435,0.265435,,,
6605893411105279123,96,2021-03-13 04:32:53,Reserved funds for order BXHNZ6K56RFP6Q7,ETH,0.00,-0.26543416,0.265435,0.00000084,,,
6605893411105279123,97,2021-03-13 04:32:54,"Sold 0.265169 ETH/ZAR @ 27,001",ETH,-0.265169,0.00,0.000266,0.00000084,,,
6605893411105279123,98,2021-03-13 04:32:54,Trading fee,ETH,-0.000265,0.00,0.000001,0.00000084,,,"~ZAR 7.15 (27,015 ZAR/ETH)"
6605893411105279123,99,2021-03-13 04:32:54,Released funds for order BXHNZ6K56RFP6Q7,ETH,0.00,0.00000016,0.000001,0.000001,,,
6605893411105279123,100,2021-03-15 05:30:02,"Bought 0.041837 ETH/ZAR @ 28,186",ETH,0.041837,0.041837,0.041838,0.041838,,,
6605893411105279123,101,2021-03-15 05:43:37,"Bought 0.00232 ETH/ZAR @ 28,186",ETH,0.00232,0.00232,0.044158,0.044158,,,
6605893411105279123,102,2021-03-15 05:43:38,"Bought 0.209864 ETH/ZAR @ 28,186",ETH,0.209864,0.209864,0.254022,0.254022,,,
