Wallet ID,Row,Timestamp (UTC),Description,Currency,Balance delta,Available balance delta,Balance,Available balance,Cryptocurrency transaction ID,Cryptocurrency address,Value
7640588725639213202,160,2021-02-23 15:16:43,"Sold ETH 0.532 for ZAR 12,122.74",ZAR,12122.74,12122.74,12169.52484,12169.52484,,,
7640588725639213202,161,2021-02-24 05:13:05,Reserved funds for order BXB4F6DNWMXCWZJ,ZAR,0.00,-12169.519,12169.52484,0.00584,,,
7640588725639213202,162,2021-02-24 13:26:46,Released funds for order BXB4F6DNWMXCWZJ,ZAR,0.00,12169.519,12169.52484,12169.52484,,,
7640588725639213202,163,2021-02-24 13:27:26,Reserved funds for order BXJHS2395R6U4A3,ZAR,0.00,-12169.5234,12169.52484,0.00144,,,
7640588725639213202,164,2021-02-26 07:30:04,Released funds for order BXJHS2395R6U4A3,ZAR,0.00,12169.5234,12169.52484,12169.52484,,,
7640588725639213202,165,2021-02-26 07:30:33,Reserved funds for withdrawal,ZAR,0.00,-6000.00,12169.52484,6169.52484,,,
7640588725639213202,166,2021-02-26 07:31:48,Reserved funds for order BXKGHXT4NH22JAB,ZAR,0.00,-4929.696,12169.52484,1239.82884,,,
7640588725639213202,167,2021-02-26 08:04:50,Payment sent to Absa Bank x7075,ZAR,-6000.00,0.00,6169.52484,1239.82884,,,
7640588725639213202,168,2021-02-26 08:42:11,Released funds for order BXKGHXT4NH22JAB,ZAR,0.00,4929.696,6169.52484,6169.52484,,,
7640588725639213202,169,2021-02-26 08:42:58,"Bought ETH 0.26733322 for ZAR 6,169.52",ZAR,-6169.52,-6169.52,0.00484,0.00484,,,
7640588725639213202,170,2021-03-02 06:41:04,Deposit received,ZAR,500.00,500.00,500.00484,500.00484,,,
7640588725639213202,171,2021-03-02 07:08:58,"Sold ETH 0.26733322 for ZAR 6,292.03",ZAR,6292.03,6292.03,6792.03484,6792.03484,,,
7640588725639213202,172,2021-03-03 04:15:43,Reserved funds for order BXHDZV4857NZUP5,ZAR,0.00,-6792.015,6792.03484,0.01984,,,
7640588725639213202,173,2021-03-03 04:17:06,Released funds for order BXHDZV4857NZUP5,ZAR,0.00,6792.015,6792.03484,6792.03484,,,
7640588725639213202,174,2021-03-03 04:17:38,"Bought ETH 0.28005123 for ZAR 6,792.03",ZAR,-6792.03,-6792.03,0.00484,0.00484,,,
7640588725639213202,175,2021-03-03 12:46:58,"Sold 0.280051 ETH/ZAR @ 25,000",ZAR,7001.275,7001.275,7001.27984,7001.27984,,,
7640588725639213202,176,2021-03-03 13:12:31,Reserved funds for order BXB3SFX5SP2UFQJ,ZAR,0.00,-7001.263616,7001.27984,0.016224,,,
7640588725639213202,177,2021-03-04 04:23:30,Released funds for order BXB3SFX5SP2UFQJ,ZAR,0.00,7001.263616,7001.27984,7001.27984,,,
7640588725639213202,178,2021-03-04 04:25:47,Reserved funds for order BXGT857FW4VBM8Z,ZAR,0.00,-456.95,7001.27984,6544.32984,,,
7640588725639213202,179,2021-03-04 04:25:48,"Bought 0.00262 ETH/ZAR @ 24,050",ZAR,-63.011,0.00,6938.26884,6544.32984,,,
7640588725639213202,180,2021-03-04 04:25:50,"Bought 0.01638 ETH/ZAR @ 24,050",ZAR,-393.939,0.00,6544.32984,6544.32984,,,
7640588725639213202,182,2021-03-04 06:02:38,Reserved funds for order BXKXAJ5CAWQTG23,ZAR,0.00,-607.50,6544.32984,5936.82984,,,
7640588725639213202,183,2021-03-04 06:02:38,"Bought 0.025 ETH/ZAR @ 24,299",ZAR,-607.475,0.00,5936.85484,5936.82984,,,
7640588725639213202,184,2021-03-04 06:02:38,Released funds for order BXKXAJ5CAWQTG23,ZAR,0.00,0.025,5936.85484,5936.85484,,,
7640588725639213202,185,2021-03-04 12:44:28,"Sold 0.043931 ETH/ZAR @ 24,243",ZAR,1065.019233,1065.019233,7001.874073,7001.874073,,,
7640588725639213202,186,2021-03-04 15:42:10,Reserved funds for order BXEQS7DSNK98PN6,ZAR,0.00,-7001.872875,7001.874073,0.001198,,,
7640588725639213202,187,2021-03-05 04:11:28,Released funds for order BXEQS7DSNK98PN6,ZAR,0.00,7001.872875,7001.874073,7001.874073,,,
7640588725639213202,188,2021-03-05 04:12:20,"Bought ETH 0.29271009 for ZAR 7,001.87",ZAR,-7001.87,-7001.87,0.004073,0.004073,,,
7640588725639213202,189,2021-03-06 07:20:20,"Sold 0.00504 ETH/ZAR @ 24,789",ZAR,124.93656,124.93656,124.940633,124.940633,,,
7640588725639213202,190,2021-03-06 07:20:42,"Sold 0.287714 ETH/ZAR @ 24,789",ZAR,7132.142346,7132.142346,7257.082979,7257.082979,,,
